source,target,correlation,abs_correlation,pairwise_n,p_value,sign
T04,E10,0.18855067360370148,0.18855067360370148,91,0.07347231553861516,positive
S09,V14,0.1883172489071817,0.1883172489071817,91,0.07383586635771815,positive
V11,V13,0.18802050354414593,0.18802050354414593,91,0.07430012256098874,positive
E02,S14,-0.18791042967072563,0.18791042967072563,91,0.07447292750257267,negative
S04,V06,-0.1877342297088465,0.1877342297088465,91,0.0747502155470726,negative
T13,S13,0.18759060135999264,0.18759060135999264,91,0.07497685800717452,positive
T15,E09,-0.18746839025814296,0.18746839025814296,91,0.07517013860289948,negative
E05,V07,0.1871806417819072,0.1871806417819072,91,0.07562680105960773,positive
E12,V04,-0.1871637311798199,0.1871637311798199,91,0.07565370760521871,negative
T08,E07,-0.1871525518670319,0.1871525518670319,91,0.07567149928319891,negative
E01,S14,-0.18604141781495936,0.18604141781495936,91,0.07745666312003106,negative
E02,S03,-0.1860061330595838,0.1860061330595838,91,0.07751389984489776,negative
V12,V14,0.18580884674861464,0.18580884674861464,91,0.07783454972817304,positive
S01,V10,-0.18551720856773532,0.18551720856773532,91,0.07831049394338367,negative
E02,E09,-0.18539815788223357,0.18539815788223357,91,0.07850544894273973,negative
T08,V07,-0.18509860646451756,0.18509860646451756,91,0.07899770611701923,negative
S13,V03,0.18503414907435517,0.18503414907435517,91,0.07910395187518408,positive
T12,T14,0.1848347275755508,0.1848347275755508,91,0.07943338397388866,positive
E02,V11,-0.1840791072488524,0.1840791072488524,91,0.08069158301708844,negative
S04,V05,0.18363648685741682,0.18363648685741682,91,0.08143595670221479,positive
T08,V02,-0.18361162403738893,0.18361162403738893,91,0.08147793151595954,negative
T09,S12,0.1834223386823737,0.1834223386823737,91,0.08179805982339161,positive
E04,E11,-0.18297496350893033,0.18297496350893033,91,0.08255866899424144,negative
E11,E14,0.18293882746331253,0.18293882746331253,91,0.08262035121092806,positive
E13,S03,-0.1823601564825143,0.1823601564825143,91,0.0836131214092362,negative
S06,V01,0.1821092879283713,0.1821092879283713,91,0.08404645263235996,positive
T10,V07,-0.18199196471613835,0.18199196471613835,91,0.08424972014435764,negative
