,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
T11,-0.02327692975522924,-0.03727375905864459,0.07053224746675871,-0.31871926086949537,0.06103204125527627,-0.09218632399452403,0.14107639255581014,0.17080076336409392,0.11922122714328567,0.22554337030665783,1.0,0.24595099383238148,0.09115020988643661,0.07298831126699513,0.0537623703235979,-0.2809251869728322,0.01113832308622104,0.03672789977918109,-0.06582961005931284,-0.09154626694780389,-0.010835543462064619,-0.13785797638959515,-0.10356101757341397,-0.19198757519061946,-0.42609024739022333,-0.018552077773235868,-0.12564613119351242,0.08148717479067591,-0.08252025074523127,-0.06850613551974934,0.07176111228558889,-0.07787211673497928,0.11756225584865189,0.03274405713760259,0.22876657818559093,-0.20480704171574335,-0.1607382546264293,0.15521882842158832,0.04055135837626112,0.17933819462657494,-0.005699151710164875,0.08482608662098479,0.12503584172691748,0.24330147358598553,-0.09980246606825027,-0.17721110664959824,-0.023126244530696116,-0.0018995886215986905,0.06538110774141255,-0.12764745734625746,0.05117564600865985,-0.1245026627802386,-0.09080590697614423,-0.07074042085354268,0.1382239443754066,0.03440530479814323,-0.03635545431490365,0.03902983002069586,-0.21341920019155192,0.02854821504960637
T12,-0.3056962630608612,-0.10048184136349586,0.2858428577933564,0.011791645099140796,0.06695232141414936,0.13932604851940936,-0.04182347488510388,0.07466312008778947,-0.17846590049865552,0.39012356509782514,0.24595099383238148,1.0,0.4241020762798395,0.1848347275755508,0.22056071050858259,-0.23475275878669477,0.10396224913711355,-0.029842068803764814,-0.21777376035347779,-0.19970690487381693,-0.2849957989821908,-0.10562954007219143,-0.15091213916724494,-0.14637118451821454,-0.011971564589151011,-0.016034602388511503,-0.14966051410826908,-0.16397464081853497,-0.052770332999522544,-0.1235204631835213,-0.023675637825426,-0.056764194057315046,0.06787571787816839,0.1046498663103999,0.25668770873737534,-0.12371014997764401,-0.10590081493025648,-0.02708320888857267,-0.13363919539614294,0.005240814640205915,-0.06482008824119158,-0.026892918175667926,0.33004392527628024,0.13226339591751216,0.06227772899312267,-0.03340488494656049,0.0787001454330325,-0.030030424674873036,0.057470669379095486,-0.04989346679071321,0.0767818528576164,-0.10919901918519975,-0.06911561495559816,0.0419368201619371,0.1703582465410945,-0.06571883725010212,-0.03194628628650072,0.05992552640484208,-0.2290306788371626,0.021131949351332613
T13,-0.09814697556335764,0.023113284594373514,0.11387449672458794,-0.05496991250924974,-0.043367448578051915,-0.051205263127904375,-0.11314487802816818,0.0825305933540179,-0.09656364376930017,0.2311380493234853,0.09115020988643661,0.4241020762798395,1.0,-0.017631058069466195,0.06349636202618836,-0.019760893981846314,0.062036310718668254,0.12618223690740954,-0.2437259576297383,0.07194230281141309,0.037592487950341154,-0.013214122145948016,-0.2522978527545781,0.15045837223791483,0.055801597922629495,0.12944840807700944,-0.13433769012735455,-0.012759704187664754,-0.1297342073612693,-0.13127133282148654,-0.039212562683755,-0.10201513341621882,-0.01255690032148932,-0.19641171669495605,0.14086010387035616,0.050755518087644724,-0.3361107252975509,0.1251941411832225,-0.24386562352219524,0.06096050530321504,0.0008323841243187185,-0.09468414722538611,0.18759060135999264,-0.03341749769118653,-0.1533899925564974,-0.19721058422465634,-0.02445678147081116,-0.06150862396332151,-0.06775577177927318,0.01746413581405541,0.1927182069274026,0.14683192436680048,0.1580775174491106,-0.08614282941735232,0.17539814342612944,-0.09028599196629741,0.05888490641365598,0.0601865496971506,-0.11145274108864306,-0.04695316245935469
T14,0.08356963083427453,0.11640993410188011,0.20516221033100618,0.2661154788764017,0.10801543620603728,-0.007164476318805824,0.16709746025479108,0.11322836095748455,-0.015400116326972623,0.24622969594381103,0.07298831126699513,0.1848347275755508,-0.017631058069466195,1.0,0.15366356834730743,-0.20643581134526617,0.15331894403161994,0.038127324861790206,-0.06500814421133384,-0.002166493429746574,0.1427120715484783,-0.09023529600329373,0.053485306546868554,-0.02284756215770037,0.013724763921647327,-0.14996853455572237,-0.1892878907713959,-0.07507088930738062,-0.19403323902064448,-0.007141264003370153,-0.0707805293826171,-0.1039654630625668,-0.06626309293380951,-0.05165917925845094,0.28783769257616143,-0.08373061866650951,-0.12655933876289588,0.03592606906477514,-0.0022343654169627906,0.050117487767703986,-0.22630327510969273,0.022378340928920385,0.0036082248433129873,0.05157533783864518,-0.11945357150063873,0.19912778541289414,0.17139341033869462,-0.11081020817445934,-0.04284986020861903,-0.26090991286801934,-0.2448851982415821,-0.37046551660539584,-0.1334010394896774,0.04763896193213073,-0.07721349612156475,0.11099870959519524,-0.08467778876216416,0.1953050633853221,0.05125519265006935,-0.1762116995553524
T15,0.07137224917193721,0.05579139359457768,0.19591882247992864,0.29268749203517264,0.2424884416143689,0.16476842822592047,-0.04115939260132936,0.04691743467424862,-0.044848513833330106,0.033227539398690456,0.0537623703235979,0.22056071050858259,0.06349636202618836,0.15366356834730743,1.0,-0.073925250393848,0.0827751539797924,0.17252584482656072,-0.11650744489303534,-0.14898429754116732,-0.01054090325842925,-0.026838126954113115,0.05222474881598641,-0.18746839025814296,-0.043331249156332984,-0.05660039226516702,-0.10336148845778229,-0.09640550206194931,-0.009291082075206816,0.020510900700292236,-0.1294684105541292,-0.12639036570750517,-0.12350059738723498,-0.2602131439464011,0.1093954735134333,-0.1102915701182288,-0.08152446693755665,-0.01224169583969265,-0.1074802461877566,0.07679012346653331,0.08866577205583098,-0.2036590854024866,0.1007992736056547,0.14326221931242958,0.20203906900809493,0.03383579922124095,-0.0006531288457242502,-0.08357824982543499,-0.02055787428959411,-0.09924767729557152,0.20368784735997744,-0.1892140546349872,-0.02890539439121549,-0.03955218540866062,-0.0940598790978677,-0.010398496188959666,-0.037518468517200934,0.032681638839785705,0.050906657968340326,0.0030428185208564097
E01,0.05929743097611007,0.04815323659584727,-0.15677903665921497,0.017669899046355846,0.004241101653195173,0.21521159969381257,-0.006782212526042927,-0.16873404704902434,-0.04866335078131308,-0.14744860998525053,-0.2809251869728322,-0.23475275878669477,-0.019760893981846314,-0.20643581134526617,-0.073925250393848,1.0,-0.21693248127346842,0.03950748061468671,0.0725555317452471,0.21469248292252724,0.16852635035449273,0.010386341646177032,-0.03728674514669774,0.2596830074798818,0.2860050187016563,0.10068624433392073,-0.016383258335080034,0.12802510483680232,-0.010927830126196351,0.13262335403800085,-0.09476019233716089,-0.08893924430000472,-0.008944607948376428,-0.005559560175637706,-0.0654824964490083,0.04117647067183414,0.18063239164657438,-0.09926327108901432,-0.0016886442694494907,-0.1458496780469234,0.11791787829109829,0.009318922192164526,-0.07930976806674402,-0.18604141781495936,-0.08670787275490602,-0.06379233445655358,-0.0722102748115347,0.023938002525009914,-0.12003329398344242,0.15136405303740477,-0.003560391247606374,0.1574673324911255,-0.07905342982660686,-0.05654613755650259,-0.20131657022863103,-0.22154563035257668,-0.08330811138278774,-0.1385797923877687,0.11977075797041335,-0.21161842333228026
E02,0.24381958947685617,-0.0013618770010034886,0.12516227699340302,0.047460515978599335,0.06238775420859188,-0.05281538707264477,0.12546444373194993,0.22459901577106497,0.08261323181823159,-0.02642487665792015,0.01113832308622104,0.10396224913711355,0.062036310718668254,0.15331894403161994,0.0827751539797924,-0.21693248127346842,1.0,0.4186026138405972,-0.04799961772672837,-0.01087939088576814,0.04285879256618363,-0.28345174245538546,0.12029850632070635,-0.18539815788223357,-0.21955483802501155,-0.13189106672317025,-0.11220576700920795,0.06131827525053704,0.08315446168420285,-0.07435004984576425,0.025387684947308156,0.10320055124531123,-0.1860061330595838,0.04236822411710027,0.141896224901708,-0.1510161338274703,-0.14678519235813184,0.1413791867880864,-0.27795123965203555,-0.04229222259768734,-0.11511395960661996,-0.12537881670731488,-0.15360813672334134,-0.18791042967072563,-0.1691324351230611,-0.004715159010730029,-0.06317973480960586,-0.14276668957052885,0.1405143648126778,-0.06804487506793665,0.059317815426371434,-0.10895832737319962,-0.14652436273799826,0.05869468287679434,-0.08739785601529654,-0.1840791072488524,-0.12203271049050038,0.04068913078363038,-0.11697471562704466,0.07343494299135211
E03,0.1903009741949631,-0.02778684803732508,0.0731813186773545,0.12984437485954295,0.002843205575115773,-0.09977222229494631,0.07482806292800043,0.06701203343554868,0.07266529683469077,0.0034643549729696595,0.03672789977918109,-0.029842068803764814,0.12618223690740954,0.038127324861790206,0.17252584482656072,0.03950748061468671,0.4186026138405972,1.0,-0.1185446523509273,-0.12058028273227817,0.06399499858689126,-0.2640356822521557,0.03060302089820204,0.09622054710433423,-0.25074770854750544,-0.170171416165603,-0.30256330625283767,0.1360276843041296,0.04813769108555092,0.0822547377813089,0.03993500817101422,0.030093781773795007,-0.03210121386617541,-0.1418462032237268,0.07590172922521013,-0.1958574449496739,-0.10483093831469786,-0.007486430847003617,-0.25444444602636845,0.027919812729903955,-0.07916336500019557,-0.15844659603837694,-0.11916850861199094,-0.15256599706023627,0.07341491899654928,-0.020875563080006036,-0.08101596523696711,-0.06651056480715396,0.01217404467279522,-0.07170023259198716,0.0685962560192873,-0.14744044263288553,-0.14987634805723526,0.002504998066449273,-0.1360197199208453,-0.050540409423540794,-0.01422854072750689,0.016594916085914825,-0.06521730516336344,-0.03180071315223286
E04,0.10393080581333622,0.10301560565708172,-0.36936965687027007,-0.14805051051827828,0.07765026322433229,0.06079490929118901,0.013555812236855211,-0.19200031859181965,0.02829268293243722,-0.13538406403058179,-0.06582961005931284,-0.21777376035347779,-0.2437259576297383,-0.06500814421133384,-0.11650744489303534,0.0725555317452471,-0.04799961772672837,-0.1185446523509273,1.0,0.06354332595035038,0.0376816788117708,0.1683080395561356,0.06181905070208932,-0.13311458182462124,0.19397695081210434,-0.18297496350893033,0.03466442607345124,-0.034832091591603206,-0.0027079334540499986,0.041242697417837294,-0.044215858606526076,-0.2145940524846964,0.11366197713939716,0.031093819157067642,-0.08275521552672105,0.15682073517859582,-0.041829456757479656,-0.09166460928027273,0.06002365622007524,-0.0861882899316086,0.12749400721234105,-0.13637232519697381,-0.0007805157787819273,0.08910366711859047,-0.06435477986372617,0.15934578011678685,-0.07628866820070783,0.002162321451267925,-0.0797980162800657,0.1118549441048611,0.07954346367562294,0.09295935140277695,0.016375424183146164,0.1650982294470706,-0.03046364475543209,0.1281684705524117,-0.10805763090432446,0.13643459714773512,0.09453604209247086,0.0268741838255564
E05,0.05933279970099894,-0.2946156573579006,0.010903718335989845,-0.03580545345466935,-0.17092100866632004,-0.1776451239210373,-0.1361091199804961,0.05597610761603347,0.09748919819545952,0.02951975153662639,-0.09154626694780389,-0.19970690487381693,0.07194230281141309,-0.002166493429746574,-0.14898429754116732,0.21469248292252724,-0.01087939088576814,-0.12058028273227817,0.06354332595035038,1.0,0.3598040780170431,0.1971597087697772,0.04496037593086695,0.15350919112277642,0.14030315617590783,0.11057077737128057,-0.09020676033291304,0.09425388974583815,0.024292723340693045,0.13404012170071425,-0.13645613894471048,-0.17008753277667132,-0.16263445683989505,-0.193017949076793,0.16929651326695808,0.06997833481412691,0.0900625700504341,0.03171891427033605,0.036584346019168865,0.008227699393487026,0.12850270053569054,-0.0014336689184671304,-0.12227505517150354,-0.29636163805054444,-0.39220941669173937,0.0763845192789371,-0.0035164992729971745,-0.22194744115281387,-0.1064998268637476,-0.0038790562921267773,-0.2135620357837853,0.1871806417819072,0.05775434299182198,-0.0163368367963017,-0.19020823626544145,-0.25360318954564726,0.03346793784722889,0.06016121596392926,-0.03620215870339719,0.06792891709579844
